symbol,price,mom12_1,mom6,vol,dd1y,trend,mdvol,revenue_ttm,gross_profit_ttm,operating_income_ttm,ebitda_ttm,net_income_ttm,eps_ttm,operating_cash_flow_ttm,free_cash_flow_ttm,capex_ttm,revenue_ttm_p,gross_profit_ttm_p,operating_income_ttm_p,ebitda_ttm_p,net_income_ttm_p,eps_ttm_p,operating_cash_flow_ttm_p,free_cash_flow_ttm_p,capex_ttm_p,total_assets,total_liabilities,total_equity,cash_and_equivalents,total_debt,fund_age_d,shares,mcap,rev_g,eps_g,gm,om,om_chg,fcf_margin,roe,roa,equity_ratio,net_debt,nd_ebitda,ey,fcf_yield,sales_y,buyback_yield,accruals,cash_conv,unit_suspect,sector,industry,exchange,country,active,name,quality,growth,value,compounding,total,div_yield,weight
EVR,305.94,0.14966838115863568,-0.14256887419074582,0.3819195624406968,-0.3008059873344847,0.43253968253968256,140001446.60000002,4581531000.0,4533397000.0,1023168000.0,1042829000.0,746973000.0,19.24,1580254000.0,1522809000.0,-57445000.0,3106187000.0,2568655000.0,364224000.0,372891000.0,438770000.0,11.41,715851000.0,667195000.0,-48656000.0,4314273000.0,2225672000.0,1782086000.0,1184318000.0,1098294000.0,129.0,43202033.12087338,13217230013.0,0.474969472217867,0.6862401402278702,0.9894939049850366,0.2233244738494621,0.10606688439976059,0.3323799402426831,0.419156539022247,0.17313994733295737,0.41306750870888326,-86024000.0,-0.08249099325009182,0.05651509425691342,0.11521392897772217,0.346633220084221,,-0.19314517185166538,2.038639950841597,False,Financial Services,Financial - Capital Markets,NYSE,US,True,Evercore Inc.,1.516568705794379,1.7340493444417944,0.8900670550902657,1.7987201093440073,1.4848513036676116,0.011145976335229131,0.03333333333333333
HCI,188.69,0.32439560439560444,0.16152662357648517,0.3276700199975077,-0.2745911642665365,0.3412698412698413,25146315.0,927478000.0,617139000.0,444375000.0,462507999.0,302728000.0,25.71,432193000.0,430479000.0,-2236000.0,759984000.0,659085000.0,281593000.0,217685000.0,132026000.0,12.48,311671000.0,309824000.0,-1847000.0,2320281000.0,1433381000.0,1089021000.0,1017806000.0,67672000.0,129.0,12208051.57666013,2303537252.0,0.22039148192593538,1.0600961538461537,0.665394758689694,0.4791218767453244,0.10859697095783416,0.46413931112112633,0.27798178363869935,0.13047040423121165,0.4693487556033084,-950134000.0,-2.0543082542449174,0.13141875597503905,0.18687737722767245,0.4026320821140339,,-0.05579712112455345,1.4219992864882007,False,Financial Services,Insurance - Property & Casualty,NYSE,US,True,"HCI Group, Inc.",1.5339505820785553,1.7009146435925877,1.50390640342838,0.9797906286670608,1.4296405644416461,0.00847951666754995,0.03333333333333333
DAVE,317.93,1.0384555096922514,0.7352363279118002,0.7047131292661803,-0.3910564342901778,0.5158730158730159,103032549.16,604617000.0,526882000.0,211040000.0,218551000.0,224989000.0,16.709999999999997,326802000.0,326503000.0,-299000.0,381425000.0,317504001.0,-65768000.0,70918000.0,52442000.0,4.0769,152040000.0,150197000.0,-1843000.0,530529000.0,326748000.0,203781000.0,133327000.0,268206000.0,129.0,14744580.401346209,4687744447.0,0.585153044504162,3.0987024454855394,0.8714310050825564,0.3490474134865543,0.5214744961371409,0.5400162416868861,1.1040725092133221,0.4240842630657325,0.3841090684957844,134879000.0,0.6171511454992199,0.047995150448951085,0.06965034115905167,0.12897823395363087,,-0.19190845363778417,1.451195391774709,False,Technology,Software - Application,NASDAQ,US,True,Dave Inc.,2.033679525248623,2.0433065523677194,-0.13811385337607565,1.5062452948165264,1.3612793797641982,0.0,0.03333333333333333
RRC,38.28,0.06094742923165808,0.049342105263157965,0.3192714648811608,-0.2551941238195172,0.4126984126984127,113076835.97999999,3176661000.0,1341722000.0,970660000.0,1523437000.0,902602000.0,3.8,1460376999.0,1297468999.0,-162908000.0,2594455000.0,760693000.0,548275000.0,745758000.0,271254000.0,0.020000000000000018,942667000.0,313029000.0,-629638000.0,7404917000.0,2802317000.0,4602394000.0,247000.0,979148000.0,129.0,230020989.6290491,8805203483.0,0.22440396923438644,188.99999999999983,0.4223686443092291,0.30555983153380234,0.09423413885460769,0.40843797906040336,0.1961157606237102,0.1218922507841749,0.6215321522172362,978901000.0,0.6425608673020282,0.10250779573040333,0.14735252870703022,0.3607708789618667,,-0.07532494948964316,1.4374763173580383,False,Energy,Oil & Gas Exploration & Production,NYSE,US,True,Range Resources Corporation,0.664856767869742,1.8665881478386193,1.3657925500523043,1.2064586099258587,1.275924018921631,0.009926854754440962,0.03333333333333333
NEM,112.98,0.3871250914411122,-0.016025082738198804,0.48516694591927195,-0.321053432790379,0.42063492063492064,845495033.725,24409000000.0,13454000000.0,12843000000.0,16702000000.0,8456000000.0,7.739999999999999,12088000000.0,12273000000.0,185000000.0,19506000000.0,7443000000.0,6722000000.0,9783000000.0,5069000000.0,3.2356999999999987,7584000000.0,4206000000.0,-3378000000.0,57670000000.0,22572000000.0,34926000000.0,8778000000.0,5532000000.0,129.0,908336406.4701717,102623847203.0,0.2513585563416385,1.3920635411193878,0.5511901347863493,0.5261583842025482,0.18154646991976348,0.5028063419230612,0.24211189371814693,0.14662736258019768,0.6056181723599792,-3246000000.0,-0.19434798227757155,0.08239800232077839,0.11959208638634261,0.23784920040774354,,-0.06297901855384082,1.45139545884579,False,Basic Materials,Gold,NYSE,US,True,Newmont Corporation,1.3297135357394843,1.8389758971309471,0.8286831202564544,1.1040924248412403,1.2753662444920315,0.009028146574614976,0.03333333333333333
EQT,51.69,-0.01613855540247988,-0.08480878186968832,0.30530351843846293,-0.28118081180811805,0.35714285714285715,429225719.75,10033148000.0,6426048000.0,4688113000.0,7429622000.0,3351038000.0,5.42,6439832000.0,4061154000.0,-2378678000.0,6335204000.0,2727743000.0,655023000.0,3345313000.0,369228000.0,0.5814999999999999,3412477000.0,1193587000.0,-2218890000.0,41692278000.0,12905229000.0,25118761000.0,326568000.0,5721411000.0,129.0,637699566.6473206,32962690600.0,0.5837134842066649,8.320722269991403,0.6404817311575589,0.46726241853504,0.3638682736898227,0.4047736562841493,0.1334077743723108,0.08037550742609939,0.6024799364525009,5394843000.0,0.7261261743867993,0.10166154336927824,0.12320456631656154,0.3043789149906349,,-0.0740855177066602,1.2119092651291927,False,Energy,Oil & Gas Exploration & Production,NYSE,US,True,EQT Corporation,0.9038575667771658,2.070918803075391,1.1714100897452349,0.9139837953983778,1.2650425637490423,0.012768427161926874,0.03333333333333333
GPOR,162.76,-0.04954954954954949,-0.23306003204222037,0.33206870609915207,-0.3249584250977572,0.36904761904761907,50283613.0,1546789000.0,1044055000.0,699707000.0,1252066000.0,594096000.0,29.539999999999996,918831000.0,361660000.0,-557171000.0,951375000.0,469805000.0,-234064000.0,-18250000.0,-313885000.0,-17.740000000000002,639291000.0,195108000.0,-444183000.0,3075411000.0,1267726000.0,1807685000.0,2921000.0,824075000.0,129.0,17981785.635291226,2926715430.0,0.6258457495729866,,0.6749821727462505,0.45236098782704043,0.6983880539155964,0.23381340312091695,0.3286501796496624,0.19317613158046193,0.5877864779699363,821154000.0,0.655839228922437,0.20299069527234495,0.12357197296766224,0.5285067978064406,,-0.10559076494166146,0.6087568339123643,False,Energy,Oil & Gas Exploration & Production,NYSE,US,True,Gulfport Energy Corporation,1.2819133759579995,1.861065697697085,1.6266742730960029,-0.007311870363187033,1.190585369096975,0.0,0.03333333333333333
CARG,38.99,0.0983763132760267,0.362810206221601,0.3934585191678227,-0.3092492954137843,0.4365079365079365,35076098.045,957378000.0,860453000.0,207925000.0,278261000.0,149086000.0,1.5500000000000003,297250000.0,280660000.0,-16590000.0,903746000.0,761458000.0,160358000.0,191817000.0,38716000.0,0.3800000000000001,271409000.0,219273000.0,-52136000.0,519613000.0,282485000.0,237128000.0,72049000.0,187995000.0,129.0,81819017.92767376,3190123509.0,0.059344107747088204,3.078947368421052,0.8987599464370395,0.21718171923733365,0.03974469600292929,0.2931548458393654,0.6287152930063088,0.28691737889544716,0.45635501806151885,115946000.0,0.4166807421809021,0.04673361378623664,0.08797778493785584,0.3001068758933747,,-0.2851429814111656,1.882537595750104,False,Consumer Cyclical,Auto - Dealerships,NASDAQ,US,True,"CarGurus, Inc.",1.4731140150839384,0.7068736181164001,0.5268787739902147,1.7694726278912594,1.119084758770453,0.0,0.03333333333333333
KNSL,373.76,-0.22872958381739905,-0.09606268743349144,0.355675077817238,-0.39296322637325865,0.25,92048088.78,1917299000.0,894198000.0,661651000.0,678760000.0,526941000.0,22.82,1062828000.0,1013732000.0,-49096000.0,1636916000.0,1369475000.0,516309000.0,492712000.0,405129000.0,17.49,995721000.0,963150000.0,-32571000.0,6215470000.0,4248124000.0,1967346000.0,223263000.0,224466000.0,129.0,20265736.419092465,7574521644.0,0.17128734767086407,0.3047455688965124,0.4663842207188342,0.34509536592884055,0.029679669582784896,0.5287292175085889,0.26784358216602466,0.08477894672486554,0.3165240923051676,1203000.0,0.0017723495786434085,0.06956756146012275,0.13383445815393594,0.2531247635312718,,-0.08621825863530835,1.9238055114329689,False,Financial Services,Insurance - Property & Casualty,NYSE,US,True,"Kinsale Capital Group, Inc.",1.0733308605478842,0.9774736750515846,0.8286831202564542,1.5428046466324614,1.105573075622096,0.0022474315068493154,0.03333333333333333
ADBE,265.21,-0.34179797203417384,-0.011811610403159811,0.38555856643402414,-0.4736569966799107,0.21825396825396826,1317771060.75,24453000000.0,21788000000.0,8961000000.0,9821000000.0,7208000000.0,17.19,10507000000.0,10317000000.0,-190000000.0,22037000000.0,19647000000.0,7997000000.0,9211000000.0,6751000000.0,15.24,9364000000.0,9181000000.0,-183000000.0,29704000000.0,18271000000.0,11433000000.0,6332000000.0,6656000000.0,161.0,303854212.9293767,80585175811.0,0.10963379770386172,0.1279527559055118,0.8910154173312068,0.36645810330020856,0.0035684177713253273,0.4219114219114219,0.6304556984168634,0.24266092108806894,0.3848976568812281,324000000.0,0.032990530495876184,0.0894457315189737,0.12802602831315923,0.30344290688588565,,-0.1110624831672502,1.4313263041065483,False,Technology,Software - Application,NASDAQ,US,True,Adobe Inc.,1.9598065510408738,-0.11044900283068747,1.140718122328329,1.352696017189599,1.0856929219320286,0.0,0.03333333333333333
